Concepto,Escenario,Recompensa media final,Tasa de éxito final
Minimax,Comunes,-0.29999999999999993,0.0
Nash,Comunes,1.2658,0.5999999999999999
Welfare,Comunes,1.058,0.4
Pareto,Comunes,1.4564,0.56
Minimax,Conflictivos,-0.06999999999999998,0.0
Nash,Conflictivos,1.7599999999999998,0.8
Welfare,Conflictivos,1.532,0.5999999999999999
Pareto,Conflictivos,1.7599999999999998,0.8
Minimax,Mixtos,-0.06999999999999998,0.0
Nash,Mixtos,1.2879999999999998,0.5999999999999999
Welfare,Mixtos,0.386,0.0
Pareto,Mixtos,0.8400000000000001,0.4
